title,price,rate,image_urls
"SANSUI 32 Inch Curved 240Hz Gaming Monitor High Refresh Rate, FHD 1080P Gaming PC Monitor HDMI DP1.4, Curved 1500R, 1Ms MPRT, HDR,Metal Stand,VESA Compatible (ES-G32C3F DP Cable Incl.)",$179.99,4.4 out of 5 stars,https://m.media-amazon.com/images/I/71IZpzCLEFL._AC_UL320_.jpg
"KOORUI 22 Inch Computer Monitor Full HD 1080P 100Hz PC Gaming Screen VA Panel Ultra-Slim Display 3000:1 Contrast Ratio with Adpitive Sync (HDMI/VGA/VESA Compatible 100x100mm/Audio Out), Tilt, Black",$69.99,4.5 out of 5 stars,https://m.media-amazon.com/images/I/71Nxejbb1ML._AC_UL320_.jpg
"AOC C27G2Z 27"" Curved Frameless Ultra-Fast Gaming Monitor, FHD 1080p, 0.5ms 240Hz, FreeSync, 2x HDMI 2.0, 1x Display Port, Height Adjustable, Xbox PS5 Switch Ready, 3-Year Zero-Bright-Dot",$149.99,4.6 out of 5 stars,https://m.media-amazon.com/images/I/819Qk8DsG0L._AC_UL320_.jpg
LG 27US500-W Ultrafine Monitor 27-Inch 4K UHD (3840x2160) HDR10 IPS Borderless Design Reader Mode Flicker Safe Switch App HDMI DisplayPort - White,$249.00,4.5 out of 5 stars,https://m.media-amazon.com/images/I/71wcp5kFaWL._AC_UL320_.jpg
"14’’ Triple Laptop Screen Extender, 1080P FHD Portable Dual Monitor for Laptop USB C HDMI, Plug-Play Monitor Extender for Triple Display for Mac/Windows, Fit 13”-17.3” Laptops",$199.98,4.2 out of 5 stars,https://m.media-amazon.com/images/I/712qbj1Fh-L._AC_UL320_.jpg
"Samsung 34' Odyssey G5 Ultra-Wide Gaming Monitor with 1000R Curved Screen, 165Hz, 1ms, FreeSync Premium, Large Display, Eye Comfort, Multiple Ports, WQHD, LC34G55TWWNXZA, Black",$299.99,4.2 out of 5 stars,https://m.media-amazon.com/images/I/81Pm4yGtiYL._AC_UL320_.jpg
"ViewSonic VX3276-MHD 32 Inch 1080p Widescreen IPS Monitor with Ultra-Thin Bezels, Screen Split Capability HDMI and DisplayPort",,4.5 out of 5 stars,https://m.media-amazon.com/images/I/71KwNoK18DL._AC_UL320_.jpg
"SAMSUNG 32"" UJ59 Series 4K UHD (3840x2160) Computer Monitor,VA Panel, HDMI, Display Port, Eye Saver/Flicker Free Mode, FreeSync, LU32J590UQNXZA, Black",$339.99,4.1 out of 5 stars,https://m.media-amazon.com/images/I/81tizzS173L._AC_UL320_.jpg
"ASUS ROG Strix 26.5” 1440P QD-OLED Gaming Monitor (XG27ACDNG) -QHD (2560x1440), 360Hz, 0.03ms, Custom Heatsink, OLED Care+, G-SYNC Compatible, 99% DCI-P3, DisplayWidget, AI Gaming, 3yr Warranty",$649.00,4.5 out of 5 stars,https://m.media-amazon.com/images/I/912YTNXMZ1L._AC_UL320_.jpg
"LG UltraGear QHD 27-Inch Gaming Monitor 27GL83A-B - IPS 1ms (GtG), with HDR 10 Compatibility, NVIDIA G-SYNC, and AMD FreeSync, 144Hz, Black",$189.99,4.5 out of 5 stars,https://m.media-amazon.com/images/I/81lC7hURadL._AC_UL320_.jpg
